MeshId	TreeNum
D009101	C04.557.595.500, C14.907.454.460, C15.378.147.780.650, C15.378.463.515.460, C20.683.515.845, C20.683.780.650
D008268	C11.768.585.439
D001168	C05.550.114
D013921	C15.378.140.855, C15.378.243.937
D010051	C04.588.322.455, C12.050.351.500.056.630.705, C12.050.351.937.418.685, C12.100.250.056.630.705, C12.900.418.685, C19.344.410, C19.391.630.705
D009134	C10.228.854.468, C10.574.562.500, C10.668.467.500
D011218	C10.597.606.360.690, C16.131.077.730, C16.131.260.700, C16.320.180.700, C16.320.447.500, C18.654.726.750.500.740
D012174	C11.270.684, C11.768.585.658.500, C16.320.290.684
D000077273	C04.557.470.200.025.085.612, C04.588.322.894.400, C04.588.443.915.400, C19.344.894.400, C19.874.788.400
D008103	C06.552.630, C23.550.355.412
D013274	C04.588.274.476.767, C06.301.371.767, C06.405.249.767, C06.405.748.789
D004314	C10.597.606.360.220, C16.131.077.327, C16.131.260.260, C16.320.180.260
D028361	C18.452.660
D000086002	C04.557.470.035.510.757, C04.557.470.660.510.757, C04.588.894.797.520.173, C04.588.894.797.640.350, C08.381.540.144, C08.785.520.124, C08.785.640.350
